09:33:25 | INFO | phase3.cli.start | dataset="covertype" fast_dev_run=true report_only=false variant="compare"
09:55:06 | INFO | seed.complete | dataset="covertype" seed=42
09:55:06 | INFO | seed.start | dataset="covertype" seed=123
09:55:31 | INFO | seed.complete | dataset="covertype" seed=123
09:55:31 | INFO | seed.start | dataset="covertype" seed=2026
09:56:06 | INFO | seed.complete | dataset="covertype" seed=2026
09:56:08 | INFO | phase3.complete | dataset="covertype" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\Phase_3_work\\results\\artifacts\\covertype\\covertype_phase3_summary.json"
09:56:13 | INFO | phase3.run.complete | reports={"experiment_markdown": "reports\\phase3_experiment_report.md", "experiment_pdf": "reports\\phase3_experiment_report.pdf", "gap_markdown": "reports\\phase3_research_gap_1page.md", "gap_pdf": "reports\\phase3_research_gap_1page.pdf"} summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\Phase_3_work\\results\\artifacts\\covertype\\covertype_phase3_summary.json"
09:59:04 | INFO | phase3.cli.start | dataset="covertype" fast_dev_run=false report_only=true variant="compare"
09:59:10 | INFO | phase3.report.ready | reports={"experiment_markdown": "reports\\phase3_experiment_report.md", "experiment_pdf": "reports\\phase3_experiment_report.pdf", "gap_markdown": "reports\\phase3_research_gap_1page.md", "gap_pdf": "reports\\phase3_research_gap_1page.pdf"}
18:31:15 | INFO | phase3.cli.start | dataset="covertype" fast_dev_run=false report_only=false variant="compare"
18:40:21 | INFO | phase3.start | dataset="covertype" variant="compare"
18:40:21 | INFO | seed.start | dataset="covertype" seed=42
18:43:15 | INFO | phase3.cli.start | dataset="covertype" fast_dev_run=false report_only=false variant="compare"
18:43:42 | INFO | phase3.cli.start | dataset="covertype" fast_dev_run=false report_only=false variant="compare"
18:56:21 | INFO | phase3.start | dataset="covertype" variant="compare"
18:56:21 | INFO | seed.start | dataset="covertype" seed=42
19:32:29 | INFO | seed.complete | dataset="covertype" seed=42
19:32:29 | INFO | seed.start | dataset="covertype" seed=123
20:06:28 | INFO | seed.complete | dataset="covertype" seed=123
20:06:28 | INFO | seed.start | dataset="covertype" seed=2026
20:56:08 | INFO | seed.complete | dataset="covertype" seed=2026
20:56:10 | INFO | phase3.complete | dataset="covertype" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\Phase_3_work\\results\\artifacts\\covertype\\covertype_phase3_summary.json"
20:56:15 | INFO | phase3.run.complete | reports={"experiment_markdown": "reports\\phase3_experiment_report.md", "experiment_pdf": "reports\\phase3_experiment_report.pdf", "gap_markdown": "reports\\phase3_research_gap_1page.md", "gap_pdf": "reports\\phase3_research_gap_1page.pdf"} summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\Phase_3_work\\results\\artifacts\\covertype\\covertype_phase3_summary.json"
