income,experience,hours_per_week,age,education,occupation,region,high_earner
83762.0,10.9,52.0,38.0,doctorate,admin,northeast,1
87823.0,15.8,20.0,43.0,masters,executive,midwest,1
62469.0,14.8,34.0,31.0,associates,sales,west,0
28411.0,7.2,45.0,40.0,masters,service,northeast,0
45331.0,7.9,38.0,30.0,bachelors,executive,northeast,0
70638.0,7.0,43.0,32.0,masters,sales,northeast,0
36868.0,10.8,35.0,24.0,high_school,sales,midwest,0
57562.0,13.7,41.0,29.0,masters,service,midwest,0
68292.0,19.6,39.0,24.0,bachelors,technical,midwest,0
64891.0,19.6,49.0,28.0,doctorate,admin,northeast,1
45057.0,17.7,42.0,49.0,bachelors,service,southeast,0
88757.0,12.7,43.0,29.0,masters,executive,midwest,1
49297.0,18.3,37.0,64.0,doctorate,service,southeast,0
119603.0,15.1,36.0,43.0,high_school,technical,west,0
77126.0,11.6,37.0,40.0,doctorate,service,northeast,0
49020.0,11.5,43.0,29.0,masters,technical,midwest,0
58069.0,7.6,37.0,45.0,high_school,admin,southeast,0
50111.0,19.8,42.0,32.0,bachelors,executive,southeast,0
79660.0,21.7,57.0,39.0,masters,sales,midwest,0
62492.0,21.1,47.0,64.0,high_school,service,midwest,0
37522.0,15.9,37.0,37.0,bachelors,admin,west,0
84355.0,22.4,50.0,49.0,bachelors,admin,northeast,0
67258.0,11.5,37.0,31.0,masters,sales,northeast,0
48942.0,17.4,24.0,38.0,high_school,service,midwest,0
171550.0,18.7,32.0,56.0,doctorate,executive,midwest,1
63361.0,12.9,25.0,32.0,doctorate,sales,southeast,0
48629.0,15.8,37.0,56.0,doctorate,service,northeast,0
53421.0,16.1,40.0,45.0,masters,technical,northeast,0
27601.0,18.8,53.0,32.0,high_school,technical,west,0
64167.0,25.9,43.0,44.0,masters,admin,northeast,1
48138.0,24.7,38.0,48.0,high_school,admin,southeast,0
46294.0,30.4,47.0,44.0,high_school,admin,northeast,0
84131.0,7.3,22.0,22.0,bachelors,technical,southeast,0
59341.0,17.9,42.0,31.0,bachelors,technical,northeast,0
108394.0,12.3,46.0,36.0,masters,sales,midwest,0
74945.0,28.0,28.0,37.0,masters,executive,northeast,1
211011.0,10.1,49.0,44.0,bachelors,executive,west,0
72026.0,8.9,43.0,40.0,associates,technical,northeast,0
76934.0,8.1,37.0,25.0,doctorate,executive,midwest,1
18697.0,6.1,45.0,42.0,bachelors,service,west,0
67395.0,13.0,58.0,44.0,bachelors,admin,midwest,0
28839.0,12.2,41.0,44.0,associates,service,midwest,0
87053.0,22.0,42.0,49.0,masters,admin,southeast,1
69107.0,19.4,36.0,46.0,masters,sales,southeast,0
62268.0,32.4,33.0,43.0,associates,executive,midwest,0
22100.0,20.9,47.0,37.0,high_school,admin,west,0
39985.0,2.3,33.0,21.0,masters,admin,midwest,0
46212.0,11.7,41.0,42.0,masters,sales,midwest,0
90222.0,18.8,36.0,40.0,associates,executive,midwest,0
69559.0,10.0,44.0,41.0,doctorate,service,southeast,0
16295.0,22.8,43.0,25.0,associates,sales,northeast,0
58455.0,17.9,48.0,27.0,bachelors,admin,midwest,0
89436.0,12.5,36.0,49.0,doctorate,admin,west,1
51510.0,3.7,38.0,38.0,bachelors,executive,northeast,0
84937.0,22.9,32.0,45.0,masters,executive,midwest,1
55468.0,12.5,36.0,38.0,bachelors,admin,northeast,0
42681.0,23.0,43.0,38.0,associates,executive,midwest,0
